----------------------------------------
Begin Torque Prologue on nid25427
at Sat Nov  9 13:15:12 CST 2019
Job Id:			10608750.bw
Username:		tra207
Group:			TRAIN_bayw
Job name:		6b
Requested resources:	nodes=01:ppn=16:xk,walltime=48:00:00,neednodes=01:ppn=16:xk
Queue:			normal
Account:		bayw
End Torque Prologue:  0.118 elapsed
----------------------------------------




Files already downloaded and verified
Testing 83.26740506329114 | Time:  94202.96071624756
Testing 83.74208860759494 | Time:  94981.20468401909
Testing 84.07832278481013 | Time:  95760.46895980835
Testing 84.19699367088607 | Time:  96539.24089717865
Testing 82.96083860759494 | Time:  97318.31292438507
Testing 84.03876582278481 | Time:  98097.1888821125
Testing 83.4948575949367 | Time:  98875.40896010399
Testing 82.29825949367088 | Time:  99653.76892566681
Testing 82.6443829113924 | Time:  100432.2207725048
Testing 83.63330696202532 | Time:  101211.26898241043
Testing 83.92009493670886 | Time:  101990.10503196716
Testing 83.95965189873418 | Time:  102769.00498104095
Testing 83.58386075949367 | Time:  103547.61674594879
Testing 83.29707278481013 | Time:  104325.70905470848
Testing 83.89042721518987 | Time:  105104.19671034813
Testing 82.69382911392405 | Time:  105882.64108610153
Testing 84.2761075949367 | Time:  106661.91690301895
Testing 84.40466772151899 | Time:  107440.71273803711
Testing 82.07080696202532 | Time:  108219.77299928665
